trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,red_square.started,polygon_2.started,key_resp_2.started,red_square.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,blue_square.started,polygon_3.started,key_resp_3.started,blue_square.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,polygon_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.011865600012242794,,0.007738300133496523,0.011865600012242794,0.011865600012242794,1.2508696999866515,right,1.2204553000628948,None,1.2519947001710534,1.2561910999938846,1.2561910999938846,2.1009672000072896,left,0.8328211000189185,None,2.102133500156924,2.1163584000896662,2.1163584000896662,2.7674277999904007,right,0.6431156999897212,None,,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
1,0,1,0,2.7830425000283867,,2.769121600082144,2.7830425000283867,2.7830425000283867,3.550824300153181,right,0.7622945001348853,None,3.551454900065437,3.5662891999818385,3.5662891999818385,4.150623199995607,left,0.5806942000053823,None,4.151166700059548,4.166133600054309,4.166133600054309,4.717313900124282,right,0.5352942000608891,None,,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
2,0,2,0,4.732887499965727,,4.718142100144178,4.732887499965727,4.732887499965727,5.269064000109211,right,0.5310518001206219,None,5.270132499979809,5.282898900099099,5.282898900099099,5.867274299962446,left,0.5718043001834303,None,5.8679704000242054,5.8829063000157475,5.8829063000157475,6.451369800139219,right,0.5605939000379294,None,,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
3,0,3,0,6.466179100098088,,6.45221360004507,6.466179100098088,6.466179100098088,6.983913900097832,right,0.510192799847573,None,6.984626000048593,6.999694300116971,6.999694300116971,7.43420230015181,left,0.43130060005933046,None,7.434760200092569,7.449861400062218,7.449861400062218,8.051034900126979,right,0.598839099984616,None,,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
4,0,4,0,8.066706000128761,,8.052043400006369,8.066706000128761,8.066706000128761,8.517769600031897,right,0.44438949995674193,None,8.518315500114113,8.53331600013189,8.53331600013189,8.950863700127229,left,0.41284339991398156,None,8.951434400165454,8.966668700100854,8.966668700100854,9.551185399992391,right,0.5677461000159383,None,,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
5,0,5,0,9.566342300036922,,9.552025800105184,9.566342300036922,9.566342300036922,9.934361699968576,right,0.35287129995413125,None,9.934885000111535,9.949753300053999,9.949753300053999,10.317413200158626,left,0.3634069000836462,None,10.318362800171599,10.332966200076044,10.332966200076044,10.784193300176412,right,0.43561980011872947,None,,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
6,0,6,0,10.7996931001544,,10.785188300069422,10.7996931001544,10.7996931001544,11.083797700004652,right,0.270203199936077,None,11.08442770014517,11.0997667000629,11.0997667000629,11.43519109999761,left,0.33150289999321103,None,11.435881500132382,11.44972260016948,11.44972260016948,11.817709499970078,right,0.35660180007107556,None,,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
7,0,7,0,11.833175300154835,,11.818593100178987,11.833175300154835,11.833175300154835,12.11781460000202,right,0.2773239999078214,None,12.118376299971715,12.13310470012948,12.13310470012948,12.401330400025472,left,0.255687199998647,None,12.402022200170904,12.416604400146753,12.416604400146753,12.78463300014846,right,0.3581828000023961,None,,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
8,0,8,0,12.799755400046706,,12.785737600177526,12.799755400046706,12.799755400046706,13.05104640009813,right,0.23621190013363957,None,13.051648400025442,13.066614700015634,13.066614700015634,13.334440600126982,left,0.25350230000913143,None,13.335048200096935,13.349850800121203,13.349850800121203,13.684433900052682,right,0.32098770001903176,None,,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
9,0,9,0,13.699759500101209,,13.685256500029936,13.699759500101209,13.699759500101209,13.901096400106326,right,0.19646480004303157,None,13.901612099958584,13.91680600005202,13.91680600005202,14.18451220006682,left,0.2527523001190275,None,14.185034499969333,14.199866200098768,14.199866200098768,14.86772199999541,right,0.6542525000404567,None,,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
