stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.030541200190782547,,0.014762200182303786,0.030541200190782547,0.5874723000451922,0.5874723000451922,0.5966545999981463,0.896592800039798,2.720598600106314,left,-10.0,1,1,2.1212937999516726,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
1,1,8.0,2.729958000127226,,2.7207163001876324,2.729958000127226,3.2299612001515925,3.2299612001515925,3.2299612001515925,3.529970800038427,3.7817261000163853,left,-8.0,0,0,0.5364402001723647,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
2,1,9.0,3.79659859999083,,3.7818746000993997,3.79659859999083,4.296800400130451,4.296800400130451,4.296800400130451,4.5965450999792665,5.014388000126928,left,-9.0,1,1,0.7102757000830024,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
3,1,9.0,5.029927300056443,,5.014508000109345,5.029927300056443,5.530022599967197,5.530022599967197,5.530022599967197,5.830096099991351,6.264807700179517,right,9.0,1,1,0.7287341998890042,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
4,1,9.0,6.279975900193676,,6.264929100172594,6.279975900193676,6.780079800169915,6.780079800169915,6.780079800169915,7.0800770001951605,7.614548600045964,right,9.0,1,1,0.828173799905926,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
5,0.5,8.0,7.63019679998979,,7.614673300180584,7.63019679998979,8.130191600183025,8.130191600183025,8.130191600183025,8.430340100079775,8.997925400035456,right,8.0,0,0,0.8642430999316275,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
6,0.5,8.5,9.013343899976462,,8.998081600060686,9.013343899976462,9.513511100085452,9.513511100085452,9.513511100085452,9.813508999999613,10.231298000086099,right,8.5,0,0,0.7046999000012875,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
7,0.5,9.0,10.246803699992597,,10.231444200035185,10.246803699992597,10.746916400035843,10.746916400035843,10.746916400035843,11.046716500073671,11.547881700098515,right,9.0,0,0,0.788750700186938,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
8,0.5,9.5,11.563435000134632,,11.548009700141847,11.563435000134632,12.047032600035891,12.047032600035891,12.063730800058693,12.34680030005984,12.914809599984437,right,9.5,1,1,0.8530081999488175,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
9,0.5,9.5,12.930175400106236,,12.914935200009495,12.930175400106236,13.430291600059718,13.430291600059718,13.430291600059718,13.7302129000891,14.081500200089067,right,9.5,1,1,0.6338511998765171,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
10,0.5,9.5,14.096934200031683,,14.081612200010568,14.096934200031683,14.597087200032547,14.597087200032547,14.597087200032547,14.897038000170141,15.231606400106102,left,-9.5,1,1,0.6247074999846518,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
11,0.5,9.0,15.247074100188911,,15.231729299994186,15.247074100188911,15.74738289997913,15.74738289997913,15.74738289997913,16.047017900040373,16.314929499989375,left,-9.0,0,0,0.5525249999482185,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
12,0.5,9.5,16.330405100015923,,16.315044000046328,16.330405100015923,16.83040720014833,16.83040720014833,16.83040720014833,17.13040819996968,17.33156650001183,left,-9.5,1,1,0.4897698999848217,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
13,0.5,9.5,17.34717299998738,,17.33167750015855,17.34717299998738,17.847040200140327,17.847040200140327,17.847040200140327,18.146974600153044,18.548354499973357,right,9.5,1,1,0.6999486999120563,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
14,0.5,9.5,18.563750700093806,,18.548468900145963,18.563750700093806,19.063981800107285,19.063981800107285,19.063981800107285,19.363620599964634,19.448377000167966,left,-9.5,1,1,0.3724844998214394,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
