reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
49,60,89,0,0,0,4,0.052605099976062775,,0.009995199972763658,0.052605099976062775,1.0019455999718048,1.0019455999718048,1.0518516000011005,2.006550199992489,l,0.9865946000209078,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
67,75,119,0,1,1,5,2.018785799969919,,2.0075307000079192,2.018785799969919,3.0188006999669597,3.0188006999669597,3.0188006999669597,3.336575399967842,t,0.30984479998005554,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
40,55,62,0,2,2,3,3.3518680999986827,,3.337149499973748,3.3518680999986827,4.352141699986532,4.352141699986532,4.352141699986532,4.7697969999862835,l,0.41409630002453923,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
78,80,162,0,3,3,6,4.78545959998155,,4.770502700004727,4.78545959998155,5.785535999981221,5.785535999981221,5.785535999981221,6.069974799989723,t,0.27250600000843406,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
11,30,7,0,4,4,0,6.085308799985796,,6.0705504000070505,6.085308799985796,7.085359300021082,7.085359300021082,7.085359300021082,7.603187799977604,l,0.505079000024125,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
15,35,13,0,5,5,1,7.618934499972966,,7.60376789997099,7.618934499972966,8.618932400015183,8.618932400015183,8.618932400015183,11.203222499985714,t,2.5753111999947578,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
27,50,21,0,6,6,2,11.218902199994773,,11.203807900019456,11.218902199994773,12.219111700018402,12.219111700018402,12.219111700018402,12.437023699982092,t,0.2166842999868095,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
49,60,89,1,0,7,4,12.452126700023655,,12.437710599973798,12.452126700023655,13.452480099978857,13.452480099978857,13.452480099978857,13.886745899973903,l,0.4182777999667451,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
15,35,13,1,1,8,1,13.90237279998837,,13.887327599979471,13.90237279998837,14.902250199986156,14.902250199986156,14.902250199986156,15.436787399987224,l,0.5246806000359356,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
67,75,119,1,2,9,5,15.452224700013176,,15.437366199970711,15.452224700013176,16.45250339998165,16.45250339998165,16.45250339998165,16.786854700010736,l,0.32246049999957904,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
11,30,7,1,3,10,0,16.80237799999304,,16.78743139997823,16.80237799999304,17.8023555999971,17.8023555999971,17.8023555999971,18.25349809997715,l,0.4433472999953665,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
40,55,62,1,4,11,3,18.26898579997942,,18.254098700010218,18.26898579997942,19.269211300008465,19.269211300008465,19.269211300008465,19.35405650001485,t,0.08381310000550002,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
27,50,21,1,5,12,2,19.36919489997672,,19.354635399999097,19.36919489997672,20.36962539999513,20.36962539999513,20.36962539999513,20.837082999991253,l,0.4575031000422314,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
78,80,162,1,6,13,6,20.85233199998038,,20.837664199993014,20.85233199998038,21.852645999984816,21.852645999984816,21.852645999984816,23.22029799997108,t,1.3533348999917507,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
11,30,7,2,0,14,0,23.235988900007214,,23.220965299988165,23.235988900007214,24.235808999976143,24.235808999976143,24.235808999976143,25.520415899984073,l,1.2735333000309765,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
78,80,162,2,1,15,6,25.53606850001961,,25.520993200014345,25.53606850001961,26.536124899983406,26.536124899983406,26.536124899983406,27.387221299984958,t,0.8460145999561064,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
15,35,13,2,2,16,1,27.402576100022998,,27.387791400018614,27.402576100022998,28.402773400011938,28.402773400011938,28.402773400011938,28.770564300008118,t,0.3517062999890186,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
49,60,89,2,3,17,4,28.78592649998609,,28.771241899987217,28.78592649998609,29.786176799971145,29.786176799971145,29.786176799971145,31.254111999995075,t,1.4609468000126071,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
27,50,21,2,4,18,2,31.269611299969256,,31.25479009997798,31.269611299969256,32.269656600023154,32.269656600023154,32.269656600023154,32.570709399995394,t,0.2930629999609664,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
40,55,62,2,5,19,3,32.58624969999073,,32.571283800003584,32.58624969999073,33.58635699999286,33.58635699999286,33.58635699999286,34.00387790001696,t,0.4147699999739416,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
67,75,119,2,6,20,5,34.01943709998159,,34.004615999991074,34.01943709998159,35.01967319997493,35.01967319997493,35.01967319997493,35.20405160001246,l,0.17981949995737523,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
40,55,62,3,0,21,3,35.21963700000197,,35.20469939999748,35.21963700000197,36.21947900002124,36.21947900002124,36.21947900002124,36.670749599987175,l,0.43399030005093664,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
11,30,7,3,1,22,0,36.68631830002414,,36.671433500014246,36.68631830002414,37.68642559996806,37.68642559996806,37.68642559996806,38.137560300005134,l,0.4472053999779746,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
67,75,119,3,2,23,5,38.15292610001052,,38.138138799986336,38.15292610001052,39.15309330000309,39.15309330000309,39.15309330000309,39.52062720002141,l,0.3584216999588534,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
49,60,89,3,3,24,4,39.53623049997259,,39.5212954999879,39.53623049997259,40.5365010999958,40.5365010999958,40.5365010999958,41.07121670001652,l,0.5336259999894537,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
78,80,162,3,4,25,6,41.08661679999204,,41.07182900002226,41.08661679999204,42.08663749997504,42.08663749997504,42.08663749997504,42.53765349998139,l,0.44891509995795786,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
15,35,13,3,5,26,1,42.553162099968176,,42.53822749998653,42.553162099968176,43.55308500002138,43.55308500002138,43.55308500002138,43.787686399999075,t,0.23044839996146038,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
27,50,21,3,6,27,2,43.80328059999738,,43.78825979999965,43.80328059999738,44.80336710001575,44.80336710001575,44.80336710001575,45.35433559998637,t,0.5475312999915332,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
