study_word,t_word,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,studyText.started,Studyslider.started,trial.stopped,Studyslider.response,Studyslider.rt,test.started,Testtext.started,textbox.started,submit_text.started,testmouse.started,test.stopped,textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,Testtext.stopped,textbox.stopped,submit_text.stopped,testmouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
pastry,,,,0,0,0,8,,,,,0.07243539998307824,,0.010305000003427267,0.07243539998307824,0.07243539998307824,2.419665199937299,1,2.3741401000879705,,,,,,,,,,,,,,,,,,,338457,001,2024-11-06_19h05.42.756,word priming,2024.1.5,None,2024-11-06 19h05.50.530575 +0530,
board,,,,0,1,1,14,,,,,2.446189499925822,,2.420194200007245,2.446189499925822,2.446189499925822,3.1349184000864625,1,0.6868679001927376,,,,,,,,,,,,,,,,,,,338457,001,2024-11-06_19h05.42.756,word priming,2024.1.5,None,2024-11-06 19h05.50.530575 +0530,
marble,,,,0,2,2,3,,,,,3.1593708000145853,,3.1352683000732213,3.1593708000145853,3.1593708000145853,3.78554300009273,1,0.6250197000335902,,,,,,,,,,,,,,,,,,,338457,001,2024-11-06_19h05.42.756,word priming,2024.1.5,None,2024-11-06 19h05.50.530575 +0530,
laptop,,,,0,3,3,4,,,,,3.810172399971634,,3.7859074999578297,3.810172399971634,3.810172399971634,4.5412270000670105,1,0.7316223999951035,,,,,,,,,,,,,,,,,,,338457,001,2024-11-06_19h05.42.756,word priming,2024.1.5,None,2024-11-06 19h05.50.530575 +0530,
mouse,,,,0,4,4,7,,,,,4.567227500025183,,4.54157799994573,4.567227500025183,4.567227500025183,5.352870299946517,1,0.7855599999893457,,,,,,,,,,,,,,,,,,,338457,001,2024-11-06_19h05.42.756,word priming,2024.1.5,None,2024-11-06 19h05.50.530575 +0530,
poster,,,,0,5,5,13,,,,,5.379320400068536,,5.353236800059676,5.379320400068536,5.379320400068536,6.235260700108483,1,0.8544540000148118,,,,,,,,,,,,,,,,,,,338457,001,2024-11-06_19h05.42.756,word priming,2024.1.5,None,2024-11-06 19h05.50.530575 +0530,
case,,,,0,6,6,9,,,,,6.260436499956995,,6.235618199920282,6.260436499956995,6.260436499956995,6.8655401999130845,1,0.6027687001042068,,,,,,,,,,,,,,,,,,,338457,001,2024-11-06_19h05.42.756,word priming,2024.1.5,None,2024-11-06 19h05.50.530575 +0530,
police,,,,0,7,7,11,,,,,6.897128199925646,,6.866033900063485,6.897128199925646,6.897128199925646,7.6091926000081,1,0.714640999911353,,,,,,,,,,,,,,,,,,,338457,001,2024-11-06_19h05.42.756,word priming,2024.1.5,None,2024-11-06 19h05.50.530575 +0530,
cushion,,,,0,8,8,1,,,,,7.641373899998143,,7.609584900084883,7.641373899998143,7.641373899998143,8.251650599995628,1,0.6116436999291182,,,,,,,,,,,,,,,,,,,338457,001,2024-11-06_19h05.42.756,word priming,2024.1.5,None,2024-11-06 19h05.50.530575 +0530,
cruise,,,,0,9,9,10,,,,,8.27455270010978,,8.251972099998966,8.27455270010978,8.27455270010978,8.918886000057682,1,0.6356337000615895,,,,,,,,,,,,,,,,,,,338457,001,2024-11-06_19h05.42.756,word priming,2024.1.5,None,2024-11-06 19h05.50.530575 +0530,
chart,,,,0,10,10,5,,,,,8.952327700098976,,8.920355099951848,8.952327700098976,8.952327700098976,9.621484499890357,1,0.6684608000796288,,,,,,,,,,,,,,,,,,,338457,001,2024-11-06_19h05.42.756,word priming,2024.1.5,None,2024-11-06 19h05.50.530575 +0530,
phone,,,,0,11,11,2,,,,,9.657573099946603,,9.622004499891773,9.657573099946603,9.657573099946603,10.327404800103977,1,0.6716495000291616,,,,,,,,,,,,,,,,,,,338457,001,2024-11-06_19h05.42.756,word priming,2024.1.5,None,2024-11-06 19h05.50.530575 +0530,
T-shirt,,,,0,12,12,6,,,,,10.356112299952656,,10.327817700104788,10.356112299952656,10.356112299952656,11.2043902000878,1,0.8434539998415858,,,,,,,,,,,,,,,,,,,338457,001,2024-11-06_19h05.42.756,word priming,2024.1.5,None,2024-11-06 19h05.50.530575 +0530,
keys,,,,0,13,13,12,,,,,11.238832199946046,,11.20498719997704,11.238832199946046,11.238832199946046,11.802247799932957,1,0.5657954001799226,,,,,,,,,,,,,,,,,,,338457,001,2024-11-06_19h05.42.756,word priming,2024.1.5,None,2024-11-06 19h05.50.530575 +0530,
book,,,,0,14,14,0,,,,,11.829596899915487,,11.802596800029278,11.829596899915487,11.829596899915487,12.585674799978733,1,0.7606771998107433,,,,,,,,,,,,,,,,,,,338457,001,2024-11-06_19h05.42.756,word priming,2024.1.5,None,2024-11-06 19h05.50.530575 +0530,
,p_li_e,police,old,,,,,0,0,0,7,12.609885700047016,,,,,,,,12.5901510999538,12.609885700047016,12.609885700047016,12.609885700047016,0.008060300024226308,16.933415699983016,police,[-0.12890625],[-0.29296875],[1],[0],[0],[4.338827699888498],['submit_text'],,,,,338457,001,2024-11-06_19h05.42.756,word priming,2024.1.5,None,2024-11-06 19h05.50.530575 +0530,
,k_y_,keys,old,,,,,0,1,1,8,16.948063999880105,,,,,,,,16.934645500034094,16.948063999880105,16.948063999880105,16.948063999880105,0.002567700110375881,19.815632699988782,keys,[-0.12760416666666666],[-0.2942708333333333],[1],[0],[0],[2.8779731998220086],['submit_text'],,,,,338457,001,2024-11-06_19h05.42.756,word priming,2024.1.5,None,2024-11-06 19h05.50.530575 +0530,
,bo_t_e,bottle,new,,,,,0,2,2,18,19.831305499887094,,,,,,,,19.816322499886155,19.831305499887094,19.831305499887094,19.831305499887094,0.002801300026476383,22.76588029996492,bottle,[-0.12760416666666666],[-0.2942708333333333],[1],[0],[0],[2.9462327999062836],['submit_text'],,,,,338457,001,2024-11-06_19h05.42.756,word priming,2024.1.5,None,2024-11-06 19h05.50.530575 +0530,
,_ho_e,phone,old,,,,,0,3,3,12,22.78242369997315,,,,,,,,22.76694929995574,22.78242369997315,22.78242369997315,22.78242369997315,0.003626300022006035,32.7657143000979,p,[],[],[],[],[],[],[],32.78177089989185,32.78177089989185,32.78177089989185,9.9984733001329,338457,001,2024-11-06_19h05.42.756,word priming,2024.1.5,None,2024-11-06 19h05.50.530575 +0530,
,p_nc_l,pencil,new,,,,,0,4,4,16,32.78177089989185,,,,,,,,32.76646579988301,32.78177089989185,32.78177089989185,32.78177089989185,0.0025645000860095024,37.33275069994852,pencil,[-0.12630208333333334],[-0.2942708333333333],[1],[0],[0],[4.5629276998806745],['submit_text'],,,,,338457,001,2024-11-06_19h05.42.756,word priming,2024.1.5,None,2024-11-06 19h05.50.530575 +0530,
,_ru_is_,cruise,old,,,,,0,5,5,6,37.34856209997088,,,,,,,,37.33350949990563,37.34856209997088,37.34856209997088,37.34856209997088,0.003196300007402897,41.23277539992705,cruise,[-0.125],[-0.2955729166666667],[1],[0],[0],[3.8956040998455137],['submit_text'],,,,,338457,001,2024-11-06_19h05.42.756,word priming,2024.1.5,None,2024-11-06 19h05.50.530575 +0530,
,_a_bl_,marble,old,,,,,0,6,6,11,41.24855459993705,,,,,,,,41.23347370000556,41.24855459993705,41.24855459993705,41.24855459993705,0.002588799921795726,46.51663099997677,marble,[-0.125],[-0.2955729166666667],[1],[0],[0],[5.280149800004438],['submit_text'],,,,,338457,001,2024-11-06_19h05.42.756,word priming,2024.1.5,None,2024-11-06 19h05.50.530575 +0530,
,l_pt_p,laptop,old,,,,,0,7,7,0,46.531940300017595,,,,,,,,46.517404000042006,46.531940300017595,46.531940300017595,46.531940300017595,0.0027350999880582094,50.98318669991568,laptop,[-0.125],[-0.2955729166666667],[1],[0],[0],[4.462583200074732],['submit_text'],,,,,338457,001,2024-11-06_19h05.42.756,word priming,2024.1.5,None,2024-11-06 19h05.50.530575 +0530,
,_oo_,book,old,,,,,0,8,8,13,50.99891329999082,,,,,,,,50.983910700073466,50.99891329999082,50.99891329999082,50.99891329999082,0.002491199877113104,54.7348750999663,book,[-0.125],[-0.2955729166666667],[1],[0],[0],[3.747529000043869],['submit_text'],,,,,338457,001,2024-11-06_19h05.42.756,word priming,2024.1.5,None,2024-11-06 19h05.50.530575 +0530,
,t_hi_t,T-shirt,old,,,,,0,9,9,2,54.7674748999998,,,,,,,,54.73688929993659,54.7674748999998,54.7674748999998,54.7674748999998,0.00720540015026927,57.50048070005141,tshirt,[-0.125],[-0.2955729166666667],[1],[0],[0],[2.755872800014913],['submit_text'],,,,,338457,001,2024-11-06_19h05.42.756,word priming,2024.1.5,None,2024-11-06 19h05.50.530575 +0530,
,c_s_io_,cushion,old,,,,,0,10,10,14,57.51606269995682,,,,,,,,57.501418200088665,57.51606269995682,57.51606269995682,57.51606269995682,0.003267900086939335,60.41682259994559,cushion,[-0.125],[-0.2955729166666667],[1],[0],[0],[2.9117179999593645],['submit_text'],,,,,338457,001,2024-11-06_19h05.42.756,word priming,2024.1.5,None,2024-11-06 19h05.50.530575 +0530,
,_o_rd,board,old,,,,,0,11,11,10,60.43248560000211,,,,,,,,60.4175424000714,60.43248560000211,60.43248560000211,60.43248560000211,0.002750599989667535,63.71761839999817,board,[-0.125],[-0.2955729166666667],[1],[0],[0],[3.2965222999919206],['submit_text'],,,,,338457,001,2024-11-06_19h05.42.756,word priming,2024.1.5,None,2024-11-06 19h05.50.530575 +0530,
,v_s_,vase,new,,,,,0,12,12,17,63.73522299993783,,,,,,,,63.71842680010013,63.73522299993783,63.73522299993783,63.73522299993783,0.005154999904334545,68.06717190006748,vase,[-0.12369791666666667],[-0.2994791666666667],[1],[0],[0],[4.343191100051627],['submit_text'],,,,,338457,001,2024-11-06_19h05.42.756,word priming,2024.1.5,None,2024-11-06 19h05.50.530575 +0530,
,p_st_r,poster,old,,,,,0,13,13,9,68.08271050010808,,,,,,,,68.06793679995462,68.08271050010808,68.08271050010808,68.08271050010808,0.002696200041100383,70.91741989995353,poster,[-0.12109375],[-0.3020833333333333],[1],[0],[0],[2.8461753998417407],['submit_text'],,,,,338457,001,2024-11-06_19h05.42.756,word priming,2024.1.5,None,2024-11-06 19h05.50.530575 +0530,
,_ou_se,mouse,old,,,,,0,14,14,3,70.93694210005924,,,,,,,,70.91873449995182,70.93694210005924,70.93694210005924,70.93694210005924,0.005035399924963713,74.03388049989007,mouse,[-0.12109375],[-0.3033854166666667],[1],[0],[0],[3.1096770998556167],['submit_text'],,,,,338457,001,2024-11-06_19h05.42.756,word priming,2024.1.5,None,2024-11-06 19h05.50.530575 +0530,
,p_as_tr_,pastry,old,,,,,0,15,15,4,74.04954180005006,,,,,,,,74.03455050010234,74.04954180005006,74.04954180005006,74.04954180005006,0.0031117999460548162,78.41781420004554,pastry,[-0.12109375],[-0.3033854166666667],[1],[0],[0],[4.379500600043684],['submit_text'],,,,,338457,001,2024-11-06_19h05.42.756,word priming,2024.1.5,None,2024-11-06 19h05.50.530575 +0530,
,ta_l_,table,new,,,,,0,16,16,15,78.43319949996658,,,,,,,,78.41864280006848,78.43319949996658,78.43319949996658,78.43319949996658,0.00335719995200634,81.91779160010628,table,[-0.12109375],[-0.3033854166666667],[1],[0],[0],[3.495361599838361],['submit_text'],,,,,338457,001,2024-11-06_19h05.42.756,word priming,2024.1.5,None,2024-11-06 19h05.50.530575 +0530,
,c_m_ra,camera,new,,,,,0,17,17,19,81.9327877999749,,,,,,,,81.91851069987752,81.9327877999749,81.9327877999749,81.9327877999749,0.0038135999348014593,84.70087719988078,camera,[-0.12109375],[-0.3033854166666667],[1],[0],[0],[2.7780511998571455],['submit_text'],,,,,338457,001,2024-11-06_19h05.42.756,word priming,2024.1.5,None,2024-11-06 19h05.50.530575 +0530,
,_ha_t,chart,old,,,,,0,18,18,1,84.71659879991785,,,,,,,,84.70162110007368,84.71659879991785,84.71659879991785,84.71659879991785,0.0030193000566214323,87.75127919996157,chart,[-0.12109375],[-0.3033854166666667],[1],[0],[0],[3.046159400139004],['submit_text'],,,,,338457,001,2024-11-06_19h05.42.756,word priming,2024.1.5,None,2024-11-06 19h05.50.530575 +0530,
,c_s_,case,old,,,,,0,19,19,5,87.76666350010782,,,,,,,,87.75207770010456,87.76666350010782,87.76666350010782,87.76666350010782,0.0027437000535428524,91.06780069996603,case,[-0.12109375],[-0.3033854166666667],[1],[0],[0],[3.312470299890265],['submit_text'],,,,,338457,001,2024-11-06_19h05.42.756,word priming,2024.1.5,None,2024-11-06 19h05.50.530575 +0530,
