study_word,t_word,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,studyText.started,Studyslider.started,trial.stopped,Studyslider.response,Studyslider.rt,test.started,Testtext.started,textbox.started,submit_text.started,testmouse.started,test.stopped,textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
T-shirt,,,,0,0,0,6,,,,,0.08142160018905997,,0.010179199976846576,0.08142160018905997,0.08142160018905997,3.8590744000393897,1.1947916666666665,3.8119598000776023,,,,,,,,,,,,,,,545420,001,2024-11-06_19h01.23.096,word priming,2024.1.5,None,2024-11-06 19h01.32.186340 +0530,
poster,,,,0,1,1,13,,,,,3.9005875000730157,,3.859987400006503,3.9005875000730157,3.9005875000730157,6.527909600175917,1.1322916666666665,2.6249750000424683,,,,,,,,,,,,,,,545420,001,2024-11-06_19h01.23.096,word priming,2024.1.5,None,2024-11-06 19h01.32.186340 +0530,
board,,,,0,2,2,14,,,,,6.564681000076234,,6.528540400089696,6.564681000076234,6.564681000076234,8.056464200140908,1.1322916666666665,1.4928369999397546,,,,,,,,,,,,,,,545420,001,2024-11-06_19h01.23.096,word priming,2024.1.5,None,2024-11-06 19h01.32.186340 +0530,
book,,,,0,3,3,0,,,,,8.083846400026232,,8.056880800053477,8.083846400026232,8.083846400026232,9.091285899979994,1.1322916666666665,1.0073600998148322,,,,,,,,,,,,,,,545420,001,2024-11-06_19h01.23.096,word priming,2024.1.5,None,2024-11-06 19h01.32.186340 +0530,
chart,,,,0,4,4,5,,,,,9.116787899984047,,9.091651200084016,9.116787899984047,9.116787899984047,10.032478100154549,1.1322916666666665,0.9073256000410765,,,,,,,,,,,,,,,545420,001,2024-11-06_19h01.23.096,word priming,2024.1.5,None,2024-11-06 19h01.32.186340 +0530,
phone,,,,0,5,5,2,,,,,10.068782600108534,,10.033052999991924,10.068782600108534,10.068782600108534,11.692858800059184,1.1322916666666665,1.6202857999596745,,,,,,,,,,,,,,,545420,001,2024-11-06_19h01.23.096,word priming,2024.1.5,None,2024-11-06 19h01.32.186340 +0530,
cushion,,,,0,6,6,1,,,,,11.738950900034979,,11.693856300087646,11.738950900034979,11.738950900034979,13.94614200014621,1.1322916666666665,2.2079026999417692,,,,,,,,,,,,,,,545420,001,2024-11-06_19h01.23.096,word priming,2024.1.5,None,2024-11-06 19h01.32.186340 +0530,
mouse,,,,0,7,7,7,,,,,13.985265900148079,,13.946656600106508,13.985265900148079,13.985265900148079,14.760153600014746,1.1322916666666665,0.7755481000058353,,,,,,,,,,,,,,,545420,001,2024-11-06_19h01.23.096,word priming,2024.1.5,None,2024-11-06 19h01.32.186340 +0530,
pastry,,,,0,8,8,8,,,,,14.798185399966314,,14.760799600044265,14.798185399966314,14.798185399966314,16.15597700001672,1.1322916666666665,1.3587445998564363,,,,,,,,,,,,,,,545420,001,2024-11-06_19h01.23.096,word priming,2024.1.5,None,2024-11-06 19h01.32.186340 +0530,
keys,,,,0,9,9,12,,,,,16.19214090006426,,16.156431999988854,16.19214090006426,16.19214090006426,18.60088390018791,1.1322916666666665,2.407114499947056,,,,,,,,,,,,,,,545420,001,2024-11-06_19h01.23.096,word priming,2024.1.5,None,2024-11-06 19h01.32.186340 +0530,
